anime_id,title,title_english,type,source,episodes,status,airing,aired_string,duration_min,rating,score,scored_by,rank,popularity,members,favorites,studio,genre,aired_from_year
11757,Sword Art Online,Sword Art Online,TV,Light novel,25,Finished Airing,FALSE,"Jul 8, 2012 to Dec 23, 2012",23,PG-13 - Teens 13 or older,7.64,915986,1259,3,1301616,50042,A-1 Pictures,"Action, Adventure, Fantasy, Game, Romance",2012
30736,Shingeki no Bahamut: Virgin Soul,Rage of Bahamut: Virgin Soul,TV,Game,24,Finished Airing,FALSE,"Apr 8, 2017 to Sep 30, 2017",23,R - 17+ (violence & profanity),7.56,38961,1473,687,123155,509,MAPPA,"Action, Adventure, Demons, Supernatural, Magic, Fantasy",2017
4158,Dore Dore no Uta,,Music,Music,1,Finished Airing,FALSE,16-Nov-05,3,G - All Ages,5.94,1103,7475,6877,1980,1,Studio Ghibli,Music,2005
10713,Towa no Quon 2: Konton no Ranbu,Towanoquon: Dancing Orchid in Chaos,Movie,Original,1,Finished Airing,FALSE,16-Jul-11,48,PG-13 - Teens 13 or older,7.49,14757,1683,2346,25265,14,Bones,"Action, Mystery, Super Power, Supernatural",2011
9777,Umacha,,Special,Original,2,Finished Airing,FALSE,"Mar 5, 2001 to May 18, 2001",0.25,G - All Ages,5.02,488,9033,8032,1139,1,Studio Ghibli,Slice of Life,2001
31765,Sword Art Online Movie: Ordinal Scale,Sword Art Online the Movie -Ordinal Scale-,Movie,Light novel,1,Finished Airing,FALSE,18-Feb-17,119,R+ - Mild Nudity,8.09,113031,451,316,226795,2218,A-1 Pictures,"Action, Game, Adventure, Romance, Fantasy",2017
16732,Kiniro Mosaic,KINMOZA!,TV,4-koma manga,12,Finished Airing,FALSE,"Jul 6, 2013 to Sep 21, 2013",24,PG-13 - Teens 13 or older,7.36,40582,2190,815,106569,666,Studio Gokumi,"Slice of Life, Comedy, School, Seinen",2013
685,To Heart: Remember My Memories,,TV,Visual novel,13,Finished Airing,FALSE,"Oct 2, 2004 to Dec 25, 2004",24,PG-13 - Teens 13 or older,6.52,2430,5531,4392,6462,4,"OLM, AIC A.S.T.A.","Drama, Harem, Romance, School, Sci-Fi, Slice of Life",2004
34514,Pokemon Generations,Pokémon Generations,ONA,Game,18,Finished Airing,FALSE,"Dec 9, 2016 to Feb 2, 2017",4,PG - Children,7.57,9207,1437,3025,15444,57,OLM,"Action, Adventure, Fantasy, Game, Kids",2016
33455,Kakushigoto,,ONA,Manga,1,Finished Airing,FALSE,16-Jun-16,0.7,G - All Ages,5.84,205,7712,9002,675,1,Shaft,Comedy,2016
11911,Pretty Rhythm: Aurora Dream - Prism Shougekijou,,Special,Game,51,Finished Airing,FALSE,"Jul 22, 2011 to Jun 22, 2012",2,PG - Children,6.95,436,3754,7320,1607,6,Tatsunoko Production,"Comedy, Shoujo",2011
1269,Bio Hunter,,OVA,Manga,1,Finished Airing,FALSE,8-Dec-95,58,R+ - Mild Nudity,6.05,3467,7231,4215,7248,4,Madhouse,"Action, Demons, Horror",1995
36099,The Gift,The Gift,ONA,Original,1,Finished Airing,FALSE,3-Apr-16,5,G - All Ages,5.18,28,12416,13822,61,0,Marza Animation Planet,"Fantasy, Kids",2016
20507,Noragami,Noragami: Stray God,TV,Manga,12,Finished Airing,FALSE,"Jan 5, 2014 to Mar 23, 2014",24,PG-13 - Teens 13 or older,8.15,502213,377,15,846498,18501,Bones,"Action, Adventure, Comedy, Supernatural, Shounen",2014
37112,Doraemon Anniversary 25,Doraemon the Movie 25th Anniversary,Movie,Manga,1,Finished Airing,FALSE,6-Mar-04,4,G - All Ages,6.76,25,10007,13025,97,0,Shin-Ei Animation,"Comedy, Kids, Sci-Fi, Shounen",2004
